categories,description,hauteur,largeur,longueur,poids,prix,sku,stock,tags,titre,url
"['leaf', 'pokemon']","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",2,2,2,14.1,127.0,2657,98,"['chikorita', 'leaf', 'overgrow']",Chikorita,https://scrapeme.live/shop/Chikorita/
"['dragon', 'pokemon']",Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,5,5,5,7.3,94.0,2799,275,"['dragon', 'dratini', 'shed skin']",Dratini,https://scrapeme.live/shop/Dratini/
"['mystic', 'pokemon']",Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,4,4,4,33.1,123.0,7616,196,"['mystic', 'synchronize', 'xatu']",Xatu,https://scrapeme.live/shop/Xatu/
"['pokemon', 'tiny bird']",Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,,,,4.4,99.0,2942,36,"['natu', 'synchronize', 'tiny bird']",Natu,https://scrapeme.live/shop/Natu/
"['happiness', 'pokemon']","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",2,2,2,7.1,69.0,9410,293,"['happiness', 'serene grace', 'togetic']",Togetic,https://scrapeme.live/shop/Togetic/
"['pokemon', 'spike ball']","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",1,1,1,3.3,47.0,1684,264,"['serene grace', 'spike ball', 'togepi']",Togepi,https://scrapeme.live/shop/Togepi/
"['balloon', 'pokemon']",Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,1,1,1,2.2,189.0,2662,170,"['balloon', 'cute charm', 'igglybuff']",Igglybuff,https://scrapeme.live/shop/Igglybuff/
"['pokemon', 'star shape']","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",1,1,1,6.6,107.0,2794,187,"['cleffa', 'cute charm', 'star shape']",Cleffa,https://scrapeme.live/shop/Cleffa/
"['pokemon', 'tiny mouse']","When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",1,1,1,4.4,193.0,4987,64,"['pichu', 'static', 'tiny mouse']",Pichu,https://scrapeme.live/shop/Pichu/
"['light', 'pokemon']","Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",3,3,3,49.6,131.0,7579,218,"['illuminate', 'lanturn', 'light']",Lanturn,https://scrapeme.live/shop/Lanturn/
"['angler', 'pokemon']","Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",1,1,1,26.5,59.0,2651,130,"['angler', 'chinchou', 'illuminate']",Chinchou,https://scrapeme.live/shop/Chinchou/
"['bat', 'pokemon']",Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,5,5,5,165.3,195.0,6120,245,"['bat', 'crobat', 'inner focus']",Crobat,https://scrapeme.live/shop/Crobat/
"['long leg', 'pokemon']",Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,3,3,3,73.9,85.0,9759,50,"['ariados', 'long leg', 'swarm']",Ariados,https://scrapeme.live/shop/Ariados/
"['pokemon', 'string spit']",The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,1,1,1,18.7,199.0,4388,136,"['spinarak', 'string spit', 'swarm']",Spinarak,https://scrapeme.live/shop/Spinarak/
"['five star', 'pokemon']","It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",4,4,4,78.5,136.0,1806,65,"['five star', 'ledian', 'swarm']",Ledian,https://scrapeme.live/shop/Ledian/
"['five star', 'pokemon']",Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,3,3,3,23.8,98.0,3874,83,"['five star', 'ledyba', 'swarm']",Ledyba,https://scrapeme.live/shop/Ledyba/
"['owl', 'pokemon']","Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",5,5,5,89.9,170.0,9939,10,"['keen eye', 'noctowl', 'owl']",Noctowl,https://scrapeme.live/shop/Noctowl/
"['owl', 'pokemon']","Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",2,2,2,46.7,48.0,4691,204,"['hoothoot', 'keen eye', 'owl']",Hoothoot,https://scrapeme.live/shop/Hoothoot/
"['imitation', 'pokemon']","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",3,3,3,83.8,54.0,1558,147,"['imitation', 'rock head', 'sudowoodo']",Sudowoodo,https://scrapeme.live/shop/Sudowoodo/
"['pokemon', 'water fish']","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",1,1,1,18.7,98.0,4198,48,"['damp', 'water fish', 'wooper']",Wooper,https://scrapeme.live/shop/Wooper/
"['clear wing', 'pokemon']",Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,3,3,3,83.8,130.0,8321,130,"['clear wing', 'compound eyes', 'yanma']",Yanma,https://scrapeme.live/shop/Yanma/
"['pokemon', 'sun']",Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,2,2,2,18.7,33.0,7947,163,"['chlorophyll', 'sun', 'sunflora']",Sunflora,https://scrapeme.live/shop/Sunflora/
"['pokemon', 'seed']","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",1,1,1,4.0,150.0,4061,255,"['chlorophyll', 'seed', 'sunkern']",Sunkern,https://scrapeme.live/shop/Sunkern/
"['long tail', 'pokemon']","Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",2,2,2,25.4,182.0,8103,92,"['aipom', 'long tail', 'run away']",Aipom,https://scrapeme.live/shop/Aipom/
"['cottonweed', 'pokemon']",Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,2,2,2,6.6,107.0,2168,235,"['chlorophyll', 'cottonweed', 'jumpluff']",Jumpluff,https://scrapeme.live/shop/Jumpluff/
"['cottonweed', 'pokemon']","Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",2,2,2,2.2,185.0,2616,94,"['chlorophyll', 'cottonweed', 'skiploom']",Skiploom,https://scrapeme.live/shop/Skiploom/
"['cottonweed', 'pokemon']","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",1,1,1,1.1,107.0,1154,266,"['chlorophyll', 'cottonweed', 'hoppip']",Hoppip,https://scrapeme.live/shop/Hoppip/
"['frog', 'pokemon']","The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",3,3,3,74.7,193.0,9168,261,"['damp', 'frog', 'politoed']",Politoed,https://scrapeme.live/shop/Politoed/
"['aqua rabbit', 'pokemon']",Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,2,2,2,62.8,175.0,9464,300,"['aqua rabbit', 'azumarill', 'thick fat']",Azumarill,https://scrapeme.live/shop/Azumarill/
"['aqua mouse', 'pokemon']","When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",1,1,1,18.7,127.0,4728,55,"['aqua mouse', 'marill', 'thick fat']",Marill,https://scrapeme.live/shop/Marill/
"['flower', 'pokemon']","A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",1,1,1,12.8,25.0,7003,234,"['bellossom', 'chlorophyll', 'flower']",Bellossom,https://scrapeme.live/shop/Bellossom/
"['light', 'pokemon']",Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,4,4,4,135.6,41.0,2141,247,"['ampharos', 'light', 'static']",Ampharos,https://scrapeme.live/shop/Ampharos/
"['pokemon', 'wool']",Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,2,2,2,29.3,163.0,9291,64,"['flaaffy', 'static', 'wool']",Flaaffy,https://scrapeme.live/shop/Flaaffy/
"['pokemon', 'wool']","Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",2,2,2,17.2,79.0,2016,152,"['mareep', 'static', 'wool']",Mareep,https://scrapeme.live/shop/Mareep/
"['moonlight', 'pokemon']",Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,3,3,3,59.5,78.0,4995,186,"['moonlight', 'synchronize', 'umbreon']",Umbreon,https://scrapeme.live/shop/Umbreon/
"['pokemon', 'sun']",Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,2,2,2,58.4,177.0,9676,153,"['espeon', 'sun', 'synchronize']",Espeon,https://scrapeme.live/shop/Espeon/
"['mold', 'pokemon']","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",2,2,2,45.2,194.0,7903,74,"['mold', 'shuckle', 'sturdy']",Shuckle,https://scrapeme.live/shop/Shuckle/
"['pincer', 'pokemon']",Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,5,5,5,260.1,172.0,9056,198,"['pincer', 'scizor', 'swarm']",Scizor,https://scrapeme.live/shop/Scizor/
"['balloon', 'pokemon']","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",1,1,1,8.6,77.0,3335,297,"['balloon', 'poison point', 'qwilfish']",Qwilfish,https://scrapeme.live/shop/Qwilfish/
"['fairy', 'pokemon']","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",4,4,4,107.4,59.0,7346,171,"['fairy', 'granbull', 'intimidate']",Granbull,https://scrapeme.live/shop/Granbull/
"['fairy', 'pokemon']","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",2,2,2,17.2,63.0,3961,164,"['fairy', 'run away', 'snubbull']",Snubbull,https://scrapeme.live/shop/Snubbull/
"['iron snake', 'pokemon']",Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,30,30,30,881.8,116.0,4345,157,"['iron snake', 'rock head', 'steelix']",Steelix,https://scrapeme.live/shop/Steelix/
"['fly scorpion', 'pokemon']","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",3,3,3,142.9,112.0,5090,140,"['fly scorpion', 'gligar', 'sand veil']",Gligar,https://scrapeme.live/shop/Gligar/
"['long neck', 'pokemon']","Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",4,4,4,91.5,99.0,7871,31,"['girafarig', 'inner focus', 'long neck']",Girafarig,https://scrapeme.live/shop/Girafarig/
"['patient', 'pokemon']","Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",4,4,4,62.8,107.0,6138,113,"['patient', 'shadow tag', 'wobbuffet']",Wobbuffet,https://scrapeme.live/shop/Wobbuffet/
"['pokemon', 'symbol']","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",1,1,1,11.0,198.0,9561,47,"['levitate', 'symbol', 'unown']",Unown,https://scrapeme.live/shop/Unown/
"['pokemon', 'screech']","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",2,2,2,2.2,33.0,9272,207,"['levitate', 'misdreavus', 'screech']",Misdreavus,https://scrapeme.live/shop/Misdreavus/
"['pokemon', 'royal']","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",6,6,6,175.3,174.0,9664,55,"['oblivious', 'royal', 'slowking']",Slowking,https://scrapeme.live/shop/Slowking/
"['darkness', 'pokemon']",Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,1,1,1,4.6,178.0,2223,246,"['darkness', 'insomnia', 'murkrow']",Murkrow,https://scrapeme.live/shop/Murkrow/
"['pokemon', 'water fish']","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",4,4,4,165.3,37.0,2688,292,"['damp', 'quagsire', 'water fish']",Quagsire,https://scrapeme.live/shop/Quagsire/
"['dragon', 'pokemon']","Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",5,5,5,335.1,124.0,7090,206,"['dragon', 'kingdra', 'swift swim']",Kingdra,https://scrapeme.live/shop/Kingdra/
"['dark', 'pokemon']","In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",4,4,4,77.2,78.0,2081,40,"['dark', 'flash fire', 'houndoom']",Houndoom,https://scrapeme.live/shop/Houndoom/
"['dark', 'pokemon']",Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,2,2,2,23.8,144.0,7965,184,"['dark', 'flash fire', 'houndour']",Houndour,https://scrapeme.live/shop/Houndour/
"['armor bird', 'pokemon']","Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",5,5,5,111.3,199.0,1057,102,"['armor bird', 'keen eye', 'skarmory']",Skarmory,https://scrapeme.live/shop/Skarmory/
"['kite', 'pokemon']","On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",6,6,6,485.0,114.0,3704,195,"['kite', 'mantine', 'water absorb']",Mantine,https://scrapeme.live/shop/Mantine/
"['delivery', 'pokemon']","Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",2,2,2,35.3,121.0,6280,141,"['delibird', 'delivery', 'vital spirit']",Delibird,https://scrapeme.live/shop/Delibird/
"['jet', 'pokemon']","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",2,2,2,62.8,94.0,9000,150,"['jet', 'octillery', 'sniper']",Octillery,https://scrapeme.live/shop/Octillery/
"['jet', 'pokemon']","Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",2,2,2,26.5,122.0,4952,46,"['jet', 'remoraid', 'sniper']",Remoraid,https://scrapeme.live/shop/Remoraid/
"['coral', 'pokemon']","Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",2,2,2,11.0,27.0,5281,162,"['coral', 'corsola', 'natural cure']",Corsola,https://scrapeme.live/shop/Corsola/
"['pokemon', 'swine']",Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,3,3,3,123.0,84.0,4003,276,"['oblivious', 'piloswine', 'swine']",Piloswine,https://scrapeme.live/shop/Piloswine/
"['pig', 'pokemon']",Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,1,1,1,14.3,132.0,8647,250,"['oblivious', 'pig', 'swinub']",Swinub,https://scrapeme.live/shop/Swinub/
"['lava', 'pokemon']","Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",2,2,2,121.3,36.0,3917,210,"['flame body', 'lava', 'magcargo']",Magcargo,https://scrapeme.live/shop/Magcargo/
"['hibernator', 'pokemon']","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",5,5,5,277.3,31.0,7576,209,"['guts', 'hibernator', 'ursaring']",Ursaring,https://scrapeme.live/shop/Ursaring/
"['little bear', 'pokemon']",This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,2,2,2,19.4,173.0,7681,274,"['little bear', 'pickup', 'teddiursa']",Teddiursa,https://scrapeme.live/shop/Teddiursa/
"['pokemon', 'sharp claw']",Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,2,2,2,61.7,108.0,5017,141,"['keen eye', 'sharp claw', 'sneasel']",Sneasel,https://scrapeme.live/shop/Sneasel/
"['pokemon', 'single horn']","Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",4,4,4,119.0,143.0,9256,49,"['heracross', 'single horn', 'swarm']",Heracross,https://scrapeme.live/shop/Heracross/
"['live coal', 'pokemon']","Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",2,2,2,47.2,40.0,5864,21,"['flame body', 'live coal', 'magby']",Magby,https://scrapeme.live/shop/Magby/
"['pokemon', 'rock skin']","Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",2,2,2,158.7,26.0,9302,31,"['guts', 'larvitar', 'rock skin']",Larvitar,https://scrapeme.live/shop/Larvitar/
"['aurora', 'pokemon']",Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,6,6,6,412.3,68.0,8586,275,"['aurora', 'pressure', 'suicune']",Suicune,https://scrapeme.live/shop/Suicune/
"['pokemon', 'volcano']",Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,6,6,6,436.5,27.0,9592,36,"['entei', 'pressure', 'volcano']",Entei,https://scrapeme.live/shop/Entei/
"['pokemon', 'thunder']",Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,6,6,6,392.4,66.0,5989,276,"['pressure', 'raikou', 'thunder']",Raikou,https://scrapeme.live/shop/Raikou/
"['happiness', 'pokemon']","Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",4,4,4,103.2,31.0,8632,289,"['blissey', 'happiness', 'natural cure']",Blissey,https://scrapeme.live/shop/Blissey/
"['milk cow', 'pokemon']",Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,3,3,3,166.4,26.0,1586,12,"['milk cow', 'miltank', 'thick fat']",Miltank,https://scrapeme.live/shop/Miltank/
"['electric', 'pokemon']","Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.",2,2,2,51.8,104.0,5157,131,"['electric', 'elekid', 'static']",Elekid,https://scrapeme.live/shop/Elekid/
"['kiss', 'pokemon']","Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",1,1,1,13.2,166.0,7637,116,"['kiss', 'oblivious', 'smoochum']",Smoochum,https://scrapeme.live/shop/Smoochum/
"['handstand', 'pokemon']","Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.",4,4,4,105.8,149.0,3340,47,"['handstand', 'hitmontop', 'intimidate']",Hitmontop,https://scrapeme.live/shop/Hitmontop/
"['pokemon', 'scuffle']","Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.",2,2,2,46.3,145.0,7594,76,"['guts', 'scuffle', 'tyrogue']",Tyrogue,https://scrapeme.live/shop/Tyrogue/
"['painter', 'pokemon']","Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",3,3,3,127.9,151.0,6497,56,"['painter', 'smeargle', 'technician']",Smeargle,https://scrapeme.live/shop/Smeargle/
"['big horn', 'pokemon']","Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",4,4,4,157.0,33.0,3706,278,"['big horn', 'intimidate', 'stantler']",Stantler,https://scrapeme.live/shop/Stantler/
"['pokemon', 'virtual']",Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,2,2,2,71.6,151.0,4420,210,"['porygon2', 'trace', 'virtual']",Porygon2,https://scrapeme.live/shop/Porygon2/
"['armor', 'pokemon']","If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.",3,3,3,264.6,89.0,3134,197,"['armor', 'donphan', 'sturdy']",Donphan,https://scrapeme.live/shop/Donphan/
"['long nose', 'pokemon']","Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.",1,1,1,73.9,129.0,7852,120,"['long nose', 'phanpy', 'pickup']",Phanpy,https://scrapeme.live/shop/Phanpy/
"['pokemon', 'wood gecko']","Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.",1,1,1,11.0,96.0,4817,93,"['overgrow', 'treecko', 'wood gecko']",Treecko,https://scrapeme.live/shop/Treecko/
"['pokemon', 'time travel']","This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",2,2,2,11.0,111.0,1144,154,"['celebi', 'natural cure', 'time travel']",Celebi,https://scrapeme.live/shop/Celebi/
"['bite', 'pokemon']",Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.,3,3,3,81.6,175.0,4220,173,"['bite', 'intimidate', 'mightyena']",Mightyena,https://scrapeme.live/shop/Mightyena/
"['bite', 'pokemon']",Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.,1,1,1,30.0,130.0,4801,265,"['bite', 'poochyena', 'run away']",Poochyena,https://scrapeme.live/shop/Poochyena/
"['mud fish', 'pokemon']","Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",4,4,4,180.6,144.0,9105,113,"['mud fish', 'swampert', 'torrent']",Swampert,https://scrapeme.live/shop/Swampert/
"['mud fish', 'pokemon']","Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",2,2,2,61.7,152.0,6721,258,"['marshtomp', 'mud fish', 'torrent']",Marshtomp,https://scrapeme.live/shop/Marshtomp/
"['mud fish', 'pokemon']","In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.",1,1,1,16.8,140.0,5363,193,"['mud fish', 'mudkip', 'torrent']",Mudkip,https://scrapeme.live/shop/Mudkip/
"['blaze', 'pokemon']",Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.,6,6,6,114.6,40.0,7662,139,"['blaze', 'blaziken']",Blaziken,https://scrapeme.live/shop/Blaziken/
"['pokemon', 'young fowl']",Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.,2,2,2,43.0,68.0,9912,257,"['blaze', 'combusken', 'young fowl']",Combusken,https://scrapeme.live/shop/Combusken/
"['chick', 'pokemon']",Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.,1,1,1,5.5,28.0,5952,290,"['blaze', 'chick', 'torchic']",Torchic,https://scrapeme.live/shop/Torchic/
"['forest', 'pokemon']",Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,5,5,5,115.1,37.0,4619,159,"['forest', 'overgrow', 'sceptile']",Sceptile,https://scrapeme.live/shop/Sceptile/
"['pokemon', 'wood gecko']","This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.",2,2,2,47.6,190.0,9191,195,"['grovyle', 'overgrow', 'wood gecko']",Grovyle,https://scrapeme.live/shop/Grovyle/
"['pokemon', 'rainbow']",Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,12,12,12,438.7,91.0,2198,228,"['ho-oh', 'pressure', 'rainbow']",Ho-oh,https://scrapeme.live/shop/Ho-oh/
"['diving', 'pokemon']","Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",17,17,17,476.2,86.0,2564,57,"['diving', 'lugia', 'pressure']",Lugia,https://scrapeme.live/shop/Lugia/
"['armor', 'pokemon']","Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.",6,6,6,445.3,190.0,8144,86,"['armor', 'sand stream', 'tyranitar']",Tyranitar,https://scrapeme.live/shop/Tyranitar/
"['hard shell', 'pokemon']",Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.,3,3,3,335.1,114.0,4140,221,"['hard shell', 'pupitar', 'shed skin']",Pupitar,https://scrapeme.live/shop/Pupitar/
"['pokemon', 'seagull']",Wingull rides updrafts rising from the sea by extending its long and narrow wings to glide. This Pokémon’s long beak is useful for catching prey.,2,2,2,20.9,153.0,4325,41,"['keen eye', 'seagull', 'wingull']",Wingull,https://scrapeme.live/shop/Wingull/
